CODIGO CRM,VERSÃO,Descrição,Valor Teto
BA00000002433,3, [S] Adequação às Normas de Qualidade para Serviços Automotivos,"R$ 1.250,00"
BA00000002313,2, [S] Adequação conforme CMMI (Modelo Integrado de Maturidade e Capacidade) Versão 2.0,"R$ 30.000,00"
BA00000002816,0, [S] Adequação de agroindústrias aos Serviços de Inspeção de Produtos de Origem Animal e/ou Vegetal,"R$ 19.200,00"
BA00000002817,0, [S] Adequação de estabelecimentos produtores de bebidas alcoólicas para registro,"R$ 12.000,00"
BA00000002818,0," [S] Adequação de indústrias às boas práticas de fabricação de produtos saneantes, de higiene pessoal, cosméticos e perfumes","R$ 20.000,00"
BA00000002303,2, [S] Adequação do Manejo Nutricional de Rebanho Leiteiro - Bovinocultura,"R$ 2.461,00"
BA00000002702,1, [S] Adequação do Manejo Nutricional de Rebanho Leiteiro - Ovino e Caprino,"R$ 3.500,00"
BA00000003003,0, [S] Agricultura de Precisão: Mapa de Fertilidade de Solo,"R$ 12.000,00"
BA00000002821,0, [S] Aplicação do Método de Implementação de Softwares com Tecnologia BIM,"R$ 15.000,00"
BA00000003254,0, [S] Auditoria Ética Comercial dos Membros da SEDEX (SMETA) para Exportação - Código de Ética,"R$ 20.000,00"
BA00000002266,2, [S] Auditoria para Certificação PBQPH,"R$ 10.700,00"
BA00000003171,0, [S] Avaliação de Loja,"R$ 6.000,00"
BA00000002274,2, [S] Avaliação de Processos nas Indústrias de Alimentos,"R$ 8.560,00"
BA00000002416,1, [S] Avaliação de Processos nas Indústrias de Alimentos - Modalidade Compacta,"R$ 5.000,00"
BA00000002368,2, [S] Avaliação de Tempo de Vida de Prateleira,"R$ 7.490,00"
BA00000002357,1, [S] Biotecnologia da Fermentação,"R$ 9.630,00"
BA00000002217,2, [S] Boas Práticas Agrícolas - Adequação para Certificação de Produção Integrada da Cadeia Agrícola,"R$ 16.000,00"
BA00000002716,2, [S] Boas Práticas Agrícolas - Banana 🍌,"R$ 7.500,00"
BA00000002697,2, [S] Boas Práticas Agrícolas - Café,"R$ 14.400,00"
BA00000002415,2, [S] Boas Práticas Agrícolas - Geral,"R$ 14.000,00"
BA00000002875,0, [S] Boas Práticas Agrícolas - Manga,"R$ 14.400,00"
BA00000002876,0, [S] Boas Práticas Agrícolas - Maracujá,"R$ 9.630,00"
BA00000002469,1, [S] Boas Práticas Agrícolas - Morango 🍓,"R$ 7.500,00"
BA00000002250,3, [S] Boas Práticas de Higiene e Segurança dos Alimentos para o Setor de Alimentos e Bebidas - Indústria e Agroindústria,"R$ 8.560,00"
BA00000002475,2," [S] Boas Práticas de Higiene e Segurança dos Alimentos para o Setor de Alimentos e Bebidas - Turismo, Comércio e Serviços","R$ 8.560,00"
BA00000002918,0, [S] Boas Práticas em Ambientes Comerciais - Layout e Aspectos do Visual Merchandising,"R$ 2.000,00"
BA00000002346,1, [S] Boas Práticas na Pecuária de Leite e/ou Corte - Bovino,"R$ 3.750,00"
BA00000002706,1, [S] Boas Práticas na Pecuária de Leite e/ou Corte - Ovino e Caprino,"R$ 2.996,00"
BA00000002799,0, [S] Boas Práticas no Segmento de Beleza,"R$ 6.500,00"
BA00000002775,2, [S] Branding,"R$ 16.560,00"
BA00000003438,0, [S] Certificação conforme norma ABNT NBR ISO 21101:2014 - Turismo de Aventura - Sistemas de gestão de segurança - Requisitos,"R$ 16.500,00"
BA00000002262,1, [S] Certificação conforme norma ABNT NBR ISO 9001:2015 - Sistema de Gestão da Qualidade,"R$ 10.700,00"
BA00000002381,1, [S] Certificação conforme norma Rainforest Alliance para Agricultura Sustentável (RAS) - Cadeia de Custódia,"R$ 20.000,00"
BA00000002382,1, [S] Certificação conforme norma Rainforest Alliance para Agricultura Sustentável (RAS) - Código de Conduta,"R$ 20.000,00"
BA00000002792,0, [S] Certificação conforme protocolo GlobalGAP,"R$ 15.000,00"
BA00000002417,1, [S] Certificação de Conteúdo Local Para Serviços e Equipamentos (ANP),"R$ 14.980,00"
BA00000002421,2, [S] Certificação de Produtos Orgânicos,"R$ 14.500,00"
BA00000002432,1, [S] Certificação de Serviços Automotivos,"R$ 5.500,00"
BA00000002323,1, [S] Certificado de Registro Cadastral - CRC - (Setor Petróleo),"R$ 9.095,00"
BA00000002819,1, [S] Cliente Oculto - Turismo,"R$ 3.000,00"
BA00000002476,3, [S] Comunicação Visual,"R$ 12.000,00"
BA00000002488,2, [S] Consultoria para a Implantação de Estratégias de Manejo de Moscas-das-Frutas baseadas no Controle Autocida,"R$ 16.530,00"
BA00000002771,1, [S] Consultoria para Acompanhamento de Projeto Piloto em BIM,"R$ 30.000,00"
BA00000002803,1, [S] Consultoria para criação de BIM Mandate e Plano de Implantação,"R$ 15.000,00"
BA00000002210,2, [S] Consultoria para Licenciamento Ambiental 🍃,"R$ 12.000,00"
BA00000002501,1, [S] Consultoria para Mapeamento de Fluxo de Pessoas e Inteligência para o Varejo,"R$ 6.000,00"
BA00000002489,2, [S] Consultoria para o Monitoramento de Moscas-das-Frutas em Pomares de Frutas,"R$ 24.750,00"
BA00000002298,2, [S] Controle e Melhoria de Processos - Geral,"R$ 14.980,00"
BA00000002242,2, [S] Controle e Melhoria de Processos - Indústria Gráfica,"R$ 15.900,00"
BA00000002361,1, [S] Controle e Melhoria de Processos - Modelagem de Produtos de Moda,"R$ 11.974,00"
BA00000002261,2, [S] Controle e Melhoria de Processos - Otimização do Processo Produtivo Gráfico,"R$ 11.400,00"
BA00000002223,1, [S] Depósito de Patente de Invenção ou de Modelo de Utilidade,"R$ 6.500,00"
BA00000002220,1, [S] Desenvolvimento de Coleções,"R$ 12.840,00"
BA00000002478,5, [S] Desenvolvimento de Mídias Digitais de Comunicação,"R$ 7.500,00"
BA00000003442,0, [S] Desenvolvimento de Negócios Inovadores - Operação no Mercado,"R$ 12.000,00"
BA00000003443,0, [S] Desenvolvimento de Negócios Inovadores - Tração e Escala no Mercado,"R$ 18.000,00"
BA00000002299,1, [S] Desenvolvimento de Produto,"R$ 29.960,00"
BA00000002302,3, [S] Desenvolvimento de produtos alimentícios novos ou melhorados,"R$ 28.000,00"
BA00000002295,1," [S] Desenvolvimento e Implantação de Estratégia, Campanha e Ações Transmídia Storytelling","R$ 17.120,00"
BA00000002193,3, [S] Design de Ambientes,"R$ 22.572,00"
BA00000002290,1, [S] Design de Produto Tridimensional - Artesanato,"R$ 13.025,00"
BA00000002477,1, [S] Design de Rótulo e aplicações de elementos gráficos na embalagem,"R$ 12.000,00"
BA00000002222,1, [S] Design e Melhoria de Serviços,"R$ 9.800,00"
BA00000002247,3, [S] Elaboração de Cardápio e/ou Fichas Técnicas para Segmentos de Alimentação - Indústria de Panificação,"R$ 8.560,00"
BA00000002768,2," [S] Elaboração de Cardápio e/ou Fichas Técnicas para Segmentos de Alimentação - Turismo, Comércio e Serviços","R$ 9.000,00"
BA00000002200,5, [S] Fertilização In Vitro (FIV) - Rebanho,"R$ 22.000,00"
BA00000002795,0, [S] Formatação de Franquia,"R$ 30.000,00"
BA00000003415,0, [S] Genotipagem para Beta Caseina para Rebanhos Leiteiros,"R$ 1.000,00"
BA00000003456,0, [S] Gestão de Negócios Baseados em Análise e Inteligência em Dados,"R$ 5.000,00"
BA00000002955,0, [S] Implantação da norma ABNT NBR ISO 14001:2015 - Sistema de Gestão Ambiental,"R$ 17.000,00"
BA00000003706,0, [S] Implantação de Gestão ESG em conformidade ao Programa de Recomendação ABNT PR 2030 🍃,"R$ 5.000,00"
BA00000002204,2, [S] Implantação de Loja Virtual,"R$ 1.300,00"
BA00000002812,0, [S] Implantação de Projeto de Produção Aquícola,"R$ 20.000,00"
BA00000002227,1, [S] Implantação de Requisitos para Acreditação Hospitalar - ONA,"R$ 25.000,00"
BA00000002272,1, [S] Implantação do Código de Barra,"R$ 6.420,00"
BA00000002954,0, [S] Implantação dos requisitos da norma OHSAS 18001 / ISO 45001,"R$ 17.000,00"
BA00000002887,0, [S] Implantação ou Adequação na Operação do Delivery,"R$ 2.500,00"
BA00000002305,3, [S] Inseminação Artificial por Tempo Fixo - IATF - Rebanho - Bovino,"R$ 24.772,00"
BA00000003878,0, [S] Inserção digital - Desenvolvimento de Website,"R$ 4.200,00"
BA00000003004,0, [S] Lean Farm,"R$ 30.000,00"
BA00000002265,2, [S] Lean Manufacturing - Geral,"R$ 29.960,00"
BA00000002241,1, [S] Lean Manufacturing - Indústria da Moda,"R$ 16.500,00"
BA00000002245,1, [S] Lean Manufacturing - Indústria de Alimentos,"R$ 14.980,00"
BA00000002874,1, [S] Manejo para Aumento da Produtividade na Produção de Mel e Derivados 🍃🐝,"R$ 5.400,00"
BA00000002235,4, [S] Melhoria da Eficiência Energética e Fontes de Energia Alternativas,"R$ 9.600,00"
BA00000002522,1, [S] Melhoria da Qualidade do Leite,"R$ 2.675,00"
BA00000002435,1, [S] Melhoria de Layout Produtivo,"R$ 14.980,00"
BA00000002215,1, [S] Melhoria de Processo de Produção para o Segmento de Alimentação,"R$ 8.560,00"
BA00000002813,0, [S] Melhoria de Processo Produtivo para o Cultivo de Camarão e ou Peixe,"R$ 14.000,00"
BA00000003280,0, [S] Melhoria Genética - Caprinos e Ovinos,"R$ 14.000,00"
BA00000002370,2, [S] Metrologia - Calibração,"R$ 5.000,00"
BA00000002644,0, [S] Metrologia - Ensaios - Avaliação de Carcaça de Bovino de Corte através de Ultrassonografia,"R$ 15.000,00"
BA00000002372,2, [S] Metrologia - Ensaios - Serviço de Análises Laboratoriais,"R$ 15.000,00"
BA00000002465,1, [S] Modelagem e Graduação para Vestuário,"R$ 8.000,00"
BA00000002814,0, [S] Organização e Controle de Estoque,"R$ 9.600,00"
BA00000002301,1, [S] Otimização da Cadeia de Suprimentos,"R$ 12.720,00"
BA00000002772,2, [S] Otimização de Processos com Conectividade (IoT),"R$ 20.000,00"
BA00000002327,1, [S] Outorga de Água Subterrânea,"R$ 7.000,00"
BA00000002538,2, [S] Outorga de Águas Superficiais - Estaduais,"R$ 8.000,00"
BA00000002699,2, [S] Outorga de Águas Superficiais - Federais,"R$ 8.000,00"
BA00000002776,1, [S] Parametrização de Processos Industriais Automatizados,"R$ 24.840,00"
BA00000002520,1, [S] Passeio Virtual - Tour Virtual 360°,"R$ 3.600,00"
BA00000003431,0, [S] Planejamento e Controle da Manutenção (PCM),"R$ 16.500,00"
BA00000002214,1, [S] Planejamento e Controle de Produção,"R$ 15.500,00"
BA00000002246,3, [S] Planejamento e Controle de Produção - Indústria da Moda,"R$ 11.675,00"
BA00000002237,1, [S] Planejamento e Controle de Produção - Padronização de Métodos de Manufatura no Setor da Moda,"R$ 16.050,00"
BA00000002965,0, [S] Planejamento Estratégico Tecnológico,"R$ 15.000,00"
BA00000002252,1, [S] Planejamento Para Busca Orgânica - SEO,"R$ 4.280,00"
BA00000003731,0, [S] Planejamento para Implantação de Ações de Responsabilidade Social e Ambiental,"R$ 5.000,00"
BA00000002253,3, [S] Planejamento para Presença Digital e Links Patrocinados,"R$ 7.000,00"
BA00000002233,1, [S] Plano de Gerenciamento de Resíduos Sólidos,"R$ 8.560,00"
BA00000002521,3, [S] Preservação de Produtos por Técnicas de Congelamento e/ou Ultracongelamento,"R$ 12.560,00"
BA00000001703,1, [S] Produção de Amêndoas de Cacau de Qualidade,"R$ 3.424,00"
BA00000002975,0, [S] Produtividade e Digitalização,"R$ 5.000,00"
BA00000002472,1, [S] Prospecção de Águas Subterrâneas com Análise Geofísica - Ambiente Fraturado ou Cárstico,"R$ 13.000,00"
BA00000003454,0, [S] Prototipagem de Moldes de Injeção e/ou Fundição,"R$ 30.000,00"
BA00000002438,2, [S] Prototipagem via Laboratório Aberto,"R$ 30.000,00"
BA00000002533,1, [S] Qualidade do Café - Critérios SCAA - Colheita e Pós-Colheita,"R$ 7.000,00"
BA00000002820,1, [S] Qualidade no Turismo - Implantação de procedimentos,"R$ 12.000,00"
BA00000002921,0, [S] Rastreabilidade de Vegetais Frescos - Instrução Normativa Conjunta 02/2018 (MAPA),"R$ 8.000,00"
BA00000002824,0, [S] Realidade Aumentada Para os Pequenos Negócios,"R$ 13.000,00"
BA00000002822,0, [S] Realização de Modelagem e Simulações de projetos em BIM,"R$ 15.000,00"
BA00000002524,3, [S] Redução de Desperdício na Cozinha,"R$ 8.560,00"
BA00000002791,0, [S] Redução de Desperdício nos Pequenos Negócios - Geral,"R$ 4.320,00"
BA00000002733,1, [S] Redução de Desperdício nos Pequenos Negócios - Segmento de Beleza,"R$ 4.320,00"
BA00000002236,1, [S] Registro de Desenho Industrial,"R$ 4.000,00"
BA00000002271,1, [S] Rotulagem de Alimentos e Informação Nutricional,"R$ 3.750,00"
BA00000002922,0, [S] Sinalização,"R$ 7.560,00"
BA00000002828,0, [S] Sistema APPCC - Análise de Perigos e Pontos Críticos de Controle,"R$ 12.000,00"
BA00000002773,1, [S] UX - Experiência do Usuário em Ambientes Digitais,"R$ 9.600,00"
BA00000002923,0, [S] Vitrines e Expositores,"R$ 3.480,00"
BA00000003769,0, Alcance a qualidade com a filosofia 5S,
BA00000003145,0, Alcance melhores resultados por meio de uma estratégia de vendas ,
BA00000003881,0, Alcance o diferencial no atendimento ao seu cliente e gere impactos positivos,
BA00000003890,0, Alcance o melhor do planejamento estratégico (Consultoria),
BA00000003887,0, Alcance o melhor do planejamento estratégico (Curso),
BA00000003764,0, Alcance um empreendimento coletivo de sucesso em bases sustentáveis,
BA00000003104,0," Associativismo e Cooperativismo - Organização, Constituição e Funcionamento (consultoria e instrutoria)",
BA00000003776,0, Comece seu negócio colaborativo,
BA00000003469,0, Comercializar No Campo,
BA00000003158,0, Como Agir de Maneira Empreendedora,
BA00000003041,0, Como Atrair e Reter Talentos,
BA00000003161,0, Como Controlar o Fluxo de Caixa,
BA00000003162,0, Como Definir Preço de Venda,
BA00000003164,0, Como Encontrar Bons Fornecedores,
BA00000003711,0, Como estimular e exercitar sua criatividade,
BA00000003159,0, Como Expandir Seus Negócios,
BA00000003167,0, Como Planejar o Meu Negócio,
BA00000003710,0, Construa sua marca pessoal,
BA00000002628,0, Consultoria a Distância - Finanças,
BA00000002629,0, Consultoria a Distância - Marketing,
BA00000002623,0, Consultoria a Distância - Planejamento,
BA00000002657,0, Consultoria a Distância - Tributação e Legislação,
BA00000000597,0, Consultoria para Implantação e Formação de Central de Negócios,
BA00000003296,0, Cultcoop,
BA00000003622,0, Desenvolvimento Setorial - Agronegócio Sustentável (Consultoria e Instrutoria),
BA00000002972,0, Desenvolvimento Setorial - Economia Criativa (consultoria e instrutoria),
BA00000003255,0, Desenvolvimento Setorial - Negócios de Impacto Social (Consultoria e Instrutoria),
BA00000002951,0, Desenvolvimento Setorial - Turismo (consultoria e instrutoria),
BA00000002941,0, Desenvolvimento Setorial - Turismo de Aventura (consultoria e instrutria),
BA00000002933,0, Diagnóstico (ONLINE) de Enquadramento do Programa Franqueador Bahia,
BA00000000723,0, Diagnóstico de Enquadramento do Programa Franqueador Bahia,
BA00000003266,0, DIAGNÓSTICO INDÚSTRIA 360,
BA00000000457,0, D-olho na qualidade Total Rural,
BA00000000129,0, EMPRETEC,
BA00000002449,0, EMPRETEC - Follow Up 21 dias,
BA00000003513,0, Empretec Rural,
BA00000003732,0, Empretec Startup,
BA00000003719,0, Equilíbrio: uma meta de vida,
BA00000003862,0, ESG para Pequenas Empresas,
BA00000003808,0, Faça do atendimento uma ótima experiência,
BA00000003863,0, Faça gestão de estoque inteligente,
BA00000003146,0, Faça gestão de vendas e fidelize seu cliente,
BA00000003468,0, Faça gestão do seu negócio rural,
BA00000003901,0, Faça marketing digital e amplie o potencial da sua empresa,
BA00000003767,0, Faça marketing digital e amplie o potencial da sua empresa,
BA00000003617,0, Faça negócios no campo,
BA00000003243,0, Faça o controle financeiro da sua propriedade rural,
BA00000003797,0, Faça seu fluxo de caixa e controle seu capital de giro,
BA00000003144,0, Faça seus indicadores financeiros,
BA00000003919,0, Faça sua estratégia de precificação,
BA00000003467,0, Faça um excelente atendimento na sua propriedade rural,
BA00000003880,0, Faça uma apresentação rápida do seu produto ou serviço (Oficina),
BA00000003892,0, Faça uma apresentação rápida do seu produto ou serviço (Palestra),
BA00000003774,0, Faça uma estratégia digital de sucesso com ferramentas de marketing,
BA00000003860,0, Faça uma gestão empresarial integrada,
BA00000003760,0, Faça vitrines para atrair clientes e vender mais,
BA00000002615,0, Formação de multiplicadores JEPP,
BA00000002970,0, Gestão da Produção e Qualidade - Suprimentos e Produção - (consultoria e instrutoria),
BA00000003576,0, Ideação e Prototipagem de Negócios Criativos,
BA00000003140,0, IN BOOK - 1ª Temporada (Online),
BA00000003141,0, IN BOOK - 2ª Temporada (Online),
BA00000003156,0, IN BOOK (Online) - Cliente,
BA00000003153,0, IN BOOK (Online) - Comunicação,
BA00000003151,0, IN BOOK (Online) - Criatividade,
BA00000003154,0, IN BOOK (Online) - Empreendedorismo,
BA00000003155,0, IN BOOK (Online) - Estratégia,
BA00000003152,0, IN BOOK (Online) - Propósito,
BA00000003157,0, IN BOOK (Online) - Storytelling,
BA00000003150,0, IN BOOK (Online) - Vendas,
BA00000003715,0, Inteligência emocional e seus impactos,
BA00000002186,0, Jovem Empreendedor No Campo,
BA00000000527,0, Liderar No Campo,
BA00000003212,0, Liderar o Futuro - Rural,
BA00000003734,0, Liderar o Futuro - Rural (MENTORIA),
BA00000003222,0, Marketing e Vendas - Marketing de Conteúdo e Inbound Marketing  (Consultoria e Instrutoria),
BA00000002528,0, Marketing em destinos turísticos inteligentes - Empresas,
BA00000000493,0, Negócio Certo Rural,
BA00000003135,0, OFICINA BORA FAZER - MARKETING,
BA00000003136,0, OFICINA BORA FAZER - MODELAGEM DE NEGÓCIO,
BA00000003137,0, OFICINA BORA FAZER - PRECIFICAÇÃO,
BA00000003138,0, OFICINA BORA FAZER - PROTOTIPAGEM,
BA00000002093,0, Oficina Modelagem de Negócio - Canvas,
BA00000003811,0, OLERICULTURA - Módulo 1 - Planejamento da produção da pequena propriedade rural,
BA00000003812,0, OLERICULTURA - Módulo 2 - Controles financeiros e custos para a pequena propriedade rural,
BA00000003813,0, OLERICULTURA - Módulo 3 - Comercialização da produção da pequena propriedade rural ,
BA00000003814,0, OLERICULTURA - Módulo 4 - Visão estratégica da pequena propriedade rural,
BA00000003815,0, OLERICULTURA - Módulo 5 - Rastreabilidade na Olericultura,
BA00000003861,0, PES No Campo (Curso e Consultoria),
BA00000003850,0, PES No Campo: Módulo I – Ambiente Saudável no Agro (ASA) - Consultoria ,
BA00000003852,0, PES No Campo: Módulo I – Ambiente Saudável no Agro (ASA) - Curso,
BA00000003853,0, PES No Campo: Módulo II – Gestão de Resultados (GERE) - Consultoria,
BA00000003855,0, PES No Campo: Módulo II – Gestão de Resultados (GERE) - Curso,
BA00000003856,0, PES No Campo: Módulo III – Times da Excelência (TIMES) - Consultoria,
BA00000003857,0, PES No Campo: Módulo III – Times da Excelência (TIMES) - Curso,
BA00000003043,0, Planejamento Empresarial - Gestão de Processos Empresariais - (consultoria e instrutoria),
BA00000002126,0, Pratique - Abordagem Vendas,
BA00000002127,0, Pratique - Atendimento,
BA00000002129,0, Pratique - Controles Financeiros,
BA00000002134,0, Pratique - Preço de Vendas,
BA00000002915,0, PRESENÇA FINANCEIRA - Comércio,
BA00000002701,0, PRESENÇA FINANCEIRA - Indústria,
BA00000002684,0, PRESENÇA FINANCEIRA - Indústria de Alimentos e Agroindústria,
BA00000002961,0, PRESENÇA FINANCEIRA - PRODUTOR RURAL,
BA00000002961,1, PRESENÇA FINANCEIRA - PRODUTOR RURAL (Consultoria + Instrutoria),
BA00000002962,0, PRESENÇA FINANCEIRA - PRODUTOR RURAL (Instrutoria),
BA00000002695,0, PRESENÇA FINANCEIRA - Serviços,
BA00000003721,0, Projeto de Vida: reflexões e práticas,
BA00000003248,0, Relações Humanas – Por que isto é importante? (DESPERTAR - Empreendedorismo para o Ensino Médio) - PRESENCIAL,
BA00000003023,0, RENOVA VAREJO,
BA00000003024,0, RENOVA VAREJO - CURSO,
BA00000003743,0, Renova Varejo 2.0,
BA00000003478,0, Revigora Saúde - Diagnóstico de Maturidade,
BA00000003480,0, Revigora Saúde - Foco em Marketing,
BA00000003479,0, Revigora Saúde - Foco em Planejamento Empresarial,
BA00000003481,0, Revigora Saúde - Foco Finanças,
BA00000002894,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Contas a Pagar e Contas a Receber,
BA00000002895,0," SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Empréstimos, Financiamentos e Garantias de Crédito",
BA00000002897,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Formação do preço de vendas e margens financeiras,
BA00000002898,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Gestão de compras e estoques,
BA00000002899,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Gestão de Custos,
BA00000002900,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Gestão do Fluxo de Caixa e Controles Financeiros,
BA00000002901,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Inadimplência da Carteira de Clientes,
BA00000002902,0, SEBRAE AGILE FINANÇAS (PRESENCIAL E ONLINE) - Política de Vendas e Descontos,
BA00000002903,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Atendimento ao Cliente,
BA00000002904,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Comportamento do consumidor e marketing de relacionamento,
BA00000002905,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Desenvolvimento de Novos canais de Venda,
BA00000002987,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Estratégias de Comunicação,
BA00000002983,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Estratégias de Pós Vendas,
BA00000002985,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Estruturação da Área Comercial,
BA00000002906,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Gestão do mix mercadológico,
BA00000002986,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Planejamento e Gestão de vendas,
BA00000002908,0, SEBRAE AGILE MARKETING (PRESENCIAL E ONLINE) - Plano de Marketing,
